dataset,beta,beta_dec,omega,sigma1,sigma2,gamma,rho1,phi,r1,LE,b,mu,mu.ATB,mu.STB,rho2,w1,w2
low,15,0.018,0.175,0.025,0.001875,1,1,0.05,1,75,0.015,0.009,0.015,0.15,0.2,0.012,0.015
high,25,0.032,0.325,0.055,0.003125,2,2,0.15,2,75,0.033,0.02,0.03,0.3,0.4,0.03,0.04
